octave,ioi,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,tap_types,tap_times,release_times,tone_times,subject,handedness,experiment,version
2,600,trial,0,19,19,19,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[531412, 531903, 532402, 532931, 533614, 534169, 534719, 535301, 535967, 536591, 537252, 537915, 538582, 539287, 540003, 540770, 541415, 542218, 542994, 543736, 544476, 545138, 545913, 546689]","[531522, 531991, 532498, 533044, 533690, 534272, 534821, 535425, 536125, 536770, 537362, 538030, 538707, 539417, 540092, 540843, 541515, 542318, 543162, 543857, 544606, 545265, 546024, 546829]","[531120, 531719, 532319, 532919, 533518, 534118, 534719, 535319, 535994, 536617, 537280, 537942, 538609, 539314, 540029, 540797, 541443, 542244, 543021, 543763, 544502, 545165, 545940, 546716]",8,R,ITM,1.1
4,400,trial,0,20,20,20,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[552367, 552995, 553484, 553822, 554232, 554687, 555096, 555510, 556151, 556657, 557061, 557591, 558182, 558751, 559258, 559781, 560309, 560796, 561284, 561717, 562426, 562961, 563443]","[552426, 553075, 553555, 553903, 554313, 554749, 555163, 555589, 556221, 556737, 557134, 557662, 558235, 558843, 559328, 559859, 560368, 560866, 561353, 561795, 562484, 563044, 563526]","[552213, 552613, 553013, 553413, 553814, 554213, 554613, 555014, 555536, 556177, 556683, 557086, 557617, 558208, 558777, 559284, 559807, 560335, 560822, 561309, 561742, 562452, 562988, 563469]",8,R,ITM,1.1
6,600,trial,0,21,21,21,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[569527, 569998, 570472, 571091, 571755, 572259, 572817, 573449, 574089, 574639, 575287, 576072, 576750, 577358, 577893, 578498, 579115, 579745, 580337, 581010, 581570, 582241, 582814, 583450]","[569604, 570055, 570558, 571160, 571830, 572350, 572974, 573529, 574241, 574821, 575523, 576150, 576821, 577468, 578021, 578608, 579223, 579862, 580484, 581096, 581694, 582362, 583021, 583563]","[569250, 569849, 570449, 571049, 571650, 572250, 572850, 573449, 574116, 574665, 575313, 576100, 576777, 577386, 577920, 578525, 579141, 579772, 580365, 581037, 581597, 582267, 582841, 583478]",8,R,ITM,1.1
2,600,trial,0,22,22,22,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[589364, 589906, 590416, 590982, 591657, 592220, 592829, 593311, 594039, 594722, 595380, 596029, 596771, 597428, 598115, 598805, 599459, 600132, 600880, 601469, 602130, 602795, 603445, 604014]","[589447, 589987, 590502, 591064, 591722, 592322, 592909, 593515, 594118, 594786, 595472, 596139, 596845, 597570, 598247, 598910, 599585, 600223, 600944, 601579, 602227, 602888, 603582, 604142]","[589169, 589769, 590369, 590969, 591568, 592168, 592769, 593370, 594067, 594750, 595406, 596056, 596798, 597455, 598141, 598832, 599486, 600160, 600906, 601497, 602157, 602822, 603471, 604041]",8,R,ITM,1.1
5,400,trial,0,23,23,23,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[609518, 610034, 610505, 610957, 611319, 611699, 612031, 612451, 612820, 613152, 613441, 613721, 614004, 614208, 614780, 615238, 615699, 616151, 616716, 617275, 617836, 618416, 619068, 619778]","[609591, 610139, 610613, 611058, 611389, 611768, 612109, 612525, 612903, 613219, 613531, 613783, 614055, 614276, 614860, 615317, 615811, 616262, 616819, 617348, 617928, 618450, 619118, 619866]","[609357, 609757, 610157, 610557, 610957, 611357, 611758, 612157, 612477, 612846, 613178, 613467, 613746, 614030, 614806, 615264, 615725, 616176, 616742, 617300, 617862, 618441, 619094, 619803]",8,R,ITM,1.1
7,400,trial,0,24,24,24,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[625440, 625743, 626418, 626846, 627231, 627713, 628199, 628781, 629258, 629681, 630285, 631002, 631554, 632012, 632472, 632971, 633460, 633960, 634433, 634897, 635638, 636115, 636620]","[625490, 625817, 626498, 626940, 627321, 627798, 628301, 628908, 629379, 629803, 630380, 631085, 631630, 632140, 632582, 633046, 633534, 634020, 634523, 635011, 635711, 636179, 636685]","[625199, 625598, 625998, 626398, 626798, 627198, 627598, 627998, 628807, 629284, 629707, 630311, 631029, 631580, 632039, 632500, 632997, 633487, 633988, 634460, 634925, 635666, 636142, 636648]",8,R,ITM,1.1
7,600,trial,0,25,25,25,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[642201, 642735, 643177, 643692, 644354, 645021, 645552, 646117, 646689, 647422, 648103, 648680, 649263, 649893, 650547, 651237, 651966, 652675, 653536, 654098, 654771, 655452, 656133, 656701]","[642267, 642788, 643267, 643785, 644438, 645093, 645619, 646207, 646766, 647504, 648207, 648778, 649362, 649963, 650610, 651340, 652055, 652761, 653598, 654221, 654865, 655533, 656212, 656803]","[641997, 642596, 643196, 643796, 644397, 644997, 645597, 646196, 646716, 647450, 648130, 648708, 649290, 649920, 650573, 651265, 651993, 652701, 653562, 654126, 654797, 655479, 656160, 656729]",8,R,ITM,1.1
5,600,trial,0,26,26,26,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[662341, 662899, 663388, 663921, 664646, 665136, 665818, 666374, 666964, 667563, 668204, 668840, 669496, 670092, 670771, 671373, 672010, 672640, 673317, 673883, 674522, 675065, 675801, 676545]","[662417, 662972, 663510, 664048, 664695, 665229, 665894, 666452, 667040, 667650, 668293, 668923, 669587, 670181, 670846, 671475, 672077, 672701, 673401, 673986, 674598, 675198, 675884, 676618]","[662173, 662773, 663373, 663973, 664573, 665174, 665774, 666374, 666990, 667588, 668229, 668866, 669521, 670118, 670796, 671399, 672035, 672665, 673343, 673909, 674547, 675091, 675826, 676571]",8,R,ITM,1.1
5,400,trial,0,27,27,27,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[682395, 682784, 683276, 683703, 684150, 684618, 685019, 685425, 685861, 686266, 686691, 687128, 687547, 687970, 688395, 688869, 689288, 689767, 690264, 690642, 691175, 691646, 692172]","[682456, 682841, 683354, 683779, 684262, 684700, 685091, 685516, 685926, 686374, 686809, 687224, 687633, 688061, 688485, 688941, 689379, 689824, 690339, 690751, 691259, 691750, 692246]","[682219, 682618, 683018, 683418, 683819, 684218, 684618, 685019, 685452, 685887, 686292, 686717, 687154, 687572, 687995, 688420, 688894, 689314, 689793, 690289, 690668, 691201, 691672, 692198]",8,R,ITM,1.1
6,600,trial,0,28,28,28,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']","[697819, 698353, 698739, 699320, 699917, 700541, 701188, 701735, 702317, 702962, 703526, 704133, 704719, 705334, 705905, 706540, 707175, 707775, 708344, 708953, 709462, 710041, 710789, 711468]","[697887, 698403, 698853, 699405, 700013, 700635, 701267, 701849, 702418, 703071, 703624, 704219, 704800, 705425, 706009, 706616, 707266, 707885, 708432, 709041, 709573, 710148, 710858, 711535]","[697631, 698231, 698831, 699431, 700032, 700632, 701232, 701832, 702344, 702989, 703553, 704159, 704747, 705360, 705933, 706568, 707202, 707803, 708372, 708980, 709488, 710068, 710815, 711494]",8,R,ITM,1.1
